loss,accuracy,val_accuracy
1.0928940355370289e-05,0.68,0.2
1.0909866432484703e-05,0.68,0.2
1.0871719496208245e-05,0.68,0.2
1.0824038326973096e-05,0.68,0.2
1.0795429261634126e-05,0.68,0.2
1.0781124728964642e-05,0.68,0.2
1.071913902706001e-05,0.68,0.2
1.068099300027825e-05,0.68,0.2
1.0633310012053698e-05,0.68,0.2
1.0609468517941424e-05,0.68,0.2
1.0566554010438269e-05,0.68,0.2
1.0533176464377902e-05,0.68,0.2
1.0485495295142757e-05,0.68,0.2
1.0418740203022026e-05,0.68,0.2
1.0409204151073936e-05,0.68,0.2
1.0380595085734969e-05,0.68,0.2
1.0356754501117392e-05,0.68,0.2
1.0313839993614238e-05,0.68,0.2
1.0285230018780568e-05,0.68,0.2
1.0228011888102628e-05,0.68,0.2
1.0213706445938442e-05,0.68,0.2
1.0185097380599473e-05,0.68,0.2
1.0161255886487195e-05,0.68,0.2
1.0108805327035952e-05,0.68,0.2
1.008496474241838e-05,0.68,0.2
1.004681962513132e-05,0.68,0.2
1.0003904208133465e-05,0.68,0.2
9.989599675463978e-06,0.68,0.2
9.960989700630307e-06,0.68,0.2
9.922843673848549e-06,0.68,0.2
9.8751625046134e-06,0.68,0.2
9.83701647783164e-06,0.68,0.2
9.822711945162156e-06,0.68,0.2
9.779797437659e-06,0.68,0.2
9.736883839650544e-06,0.68,0.2
9.71304234553827e-06,0.68,0.2
9.69396933214739e-06,0.68,0.2
9.665358447819015e-06,0.68,0.2
9.636751201469451e-06,0.68,0.2
9.603372745914385e-06,0.68,0.2
9.565225809637924e-06,0.68,0.2
9.54138613451505e-06,0.68,0.2
9.517544640402775e-06,0.68,0.2
9.488934665569104e-06,0.68,0.2
9.460326509724837e-06,0.68,0.2
9.42694805416977e-06,0.68,0.2
9.422179573448377e-06,0.68,0.2
9.403107469552197e-06,0.68,0.2
9.36019205255434e-06,0.68,0.2
9.31250997382449e-06,0.68,0.2
9.3029730123817e-06,0.68,0.2
9.28389999899082e-06,0.68,0.2
9.260060323867949e-06,0.68,0.2
9.21714490687009e-06,0.68,0.2
9.202840374200603e-06,0.68,0.2
9.164694347418845e-06,0.68,0.2
9.15992586669745e-06,0.68,0.2
9.097939255298115e-06,0.68,0.2
9.097939255298115e-06,0.68,0.2
9.07409776118584e-06,0.68,0.2
9.05502565728966e-06,0.68,0.2
9.031183253682684e-06,0.68,0.2
8.973965123004746e-06,0.68,0.2
8.97873269423144e-06,0.68,0.2
8.945356057665776e-06,0.68,0.2
8.916745173337404e-06,0.68,0.2
8.902440640667919e-06,0.68,0.2
8.87383157532895e-06,0.68,0.2
8.830917067825794e-06,0.68,0.2
8.816611625661608e-06,0.68,0.2
8.792771041044034e-06,0.68,0.2
8.773698027653154e-06,0.68,0.2
8.740319572098088e-06,0.68,0.2
8.726015948923305e-06,0.68,0.2
8.702174454811029e-06,0.68,0.2
8.687869012646843e-06,0.68,0.2
8.67356538947206e-06,0.68,0.2
8.640186933916993e-06,0.68,0.2
8.62588331074221e-06,0.68,0.2
8.61634634929942e-06,0.68,0.2
8.582967893744353e-06,0.68,0.2
8.559126399632078e-06,0.68,0.2
8.540053386241198e-06,0.68,0.2
8.511444320902228e-06,0.68,0.2
8.487602826789953e-06,0.68,0.2
8.468529813399073e-06,0.68,0.2
8.458993761450984e-06,0.68,0.2
8.43038287712261e-06,0.68,0.2
8.416079253947828e-06,0.68,0.2
8.387469279114157e-06,0.68,0.2
8.387469279114157e-06,0.68,0.2
8.35409082355909e-06,0.68,0.2
8.325482667714823e-06,0.68,0.2
8.311177225550637e-06,0.68,0.2
8.301640264107846e-06,0.68,0.2
